customer_id,segment,plan,contract_type,region,tenure,mrr,logins_per_month,days_since_login,features_used,support_tickets,nps_score,csat_score,num_products,start_date,churn,login_tenure_ratio,support_burden,mrr_log,is_inactive_30d,is_inactive_60d,nps_bucket,is_detractor,is_new_customer,is_early_tenure,is_mature_tenure,churn_probability,risk_level,model_used
CUST-00110,SMB,Pro,Monthly,North America,3.1,52.13,8.9,35,7,2,7,1,2,2021-11-19,1,2.870967741935484,0.6451612903225806,3.972741740462852,1,0,Passive,0,0,1,0,0.9033,High,xgboost
CUST-00014,SMB,Starter,Annual,APAC,72.0,71.78,8.7,58,8,0,5,5,4,2021-05-31,1,0.12083333333333332,0.0,4.287441192184014,1,0,Detractor,1,0,0,1,0.902,High,xgboost
CUST-00714,SMB,Pro,Monthly,North America,44.6,79.93,3.6,8,9,2,5,5,2,2021-10-24,1,0.08071748878923767,0.04484304932735426,4.393584583507611,0,0,Detractor,1,0,0,1,0.9008,High,xgboost
CUST-01145,SMB,Pro,Monthly,Europe,34.1,72.78,9.4,16,17,2,6,3,2,2021-04-10,1,0.2756598240469208,0.05865102639296187,4.3010876921685295,0,0,Detractor,1,0,0,1,0.9001,High,xgboost
CUST-00849,SMB,Starter,Monthly,Europe,7.1,123.34,2.1,25,15,1,4,4,2,2021-07-27,1,0.295774647887324,0.14084507042253522,4.823019748841191,0,0,Detractor,1,0,1,0,0.8995,High,xgboost
CUST-01674,Mid-Market,Pro,Annual,APAC,2.2,361.25,0.3,19,19,3,2,5,2,2021-06-26,1,0.13636363636363635,1.3636363636363635,5.8923345812007915,0,0,Detractor,1,1,0,0,0.8976,High,xgboost
CUST-01602,SMB,Starter,Monthly,LATAM,19.3,42.88,0.6,29,5,0,3,3,2,2022-03-11,1,0.031088082901554404,0.0,3.7814586354070294,0,0,Detractor,1,0,0,1,0.8976,High,xgboost
CUST-00729,SMB,Pro,Monthly,LATAM,28.0,105.87,1.3,17,18,0,10,5,1,2021-12-08,1,0.04642857142857143,0.0,4.671613142536805,0,0,Promoter,0,0,0,1,0.897,High,xgboost
CUST-01808,SMB,Pro,Monthly,APAC,22.1,49.92,41.5,11,7,3,0,5,4,2021-08-05,1,1.8778280542986425,0.13574660633484162,3.930255773689206,0,0,Detractor,1,0,0,1,0.8954,High,xgboost
CUST-01621,SMB,Pro,Monthly,North America,0.6,120.24,1.5,16,11,1,8,3,5,2021-11-05,1,1.5,1.0,4.797772052189602,0,0,Passive,0,1,0,0,0.8941,High,xgboost
CUST-00668,SMB,Pro,Annual,Europe,41.6,39.0,5.2,51,9,2,6,4,1,2021-09-15,1,0.125,0.04807692307692307,3.6888794541139363,1,0,Detractor,1,0,0,1,0.894,High,xgboost
CUST-00244,SMB,Pro,Annual,North America,4.0,81.02,2.8,36,1,3,3,4,2,2021-01-13,1,0.7,0.75,4.406963119963913,1,0,Detractor,1,0,1,0,0.8899,High,xgboost
CUST-00594,SMB,Pro,Monthly,Europe,10.3,58.92,10.6,15,13,1,9,3,2,2022-03-01,1,1.029126213592233,0.0970873786407767,4.0930103392089645,0,0,Promoter,0,0,1,0,0.888,High,xgboost
CUST-01937,SMB,Starter,Annual,North America,19.2,69.49,48.8,5,10,3,5,2,3,2022-03-05,1,2.5416666666666665,0.15625,4.255470855785784,0,0,Detractor,1,0,0,1,0.8874,High,xgboost
CUST-00164,SMB,Starter,Monthly,North America,8.8,63.35,2.9,31,5,1,6,3,1,2022-01-27,1,0.32954545454545453,0.11363636363636363,4.164336934042136,1,0,Detractor,1,0,1,0,0.8872,High,xgboost
CUST-01375,SMB,Starter,Monthly,North America,5.6,122.05,9.9,33,17,2,5,5,4,2021-05-29,1,1.767857142857143,0.35714285714285715,4.812590776837065,1,0,Detractor,1,0,1,0,0.887,High,xgboost
CUST-00788,SMB,Pro,Annual,Europe,17.1,149.01,4.1,54,9,0,0,3,2,2021-04-03,1,0.239766081871345,0.0,5.010701958540799,1,0,Detractor,1,0,0,1,0.8866,High,xgboost
CUST-00039,Mid-Market,Pro,Annual,Europe,15.8,600.67,6.1,11,13,3,10,4,3,2022-05-03,1,0.38607594936708856,0.18987341772151897,6.39970912224973,0,0,Promoter,0,0,0,1,0.8864,High,xgboost
CUST-00078,SMB,Starter,Monthly,North America,1.4,59.1,2.8,29,6,4,7,4,4,2021-12-17,1,2.0,2.857142857142857,4.096009841541162,0,0,Passive,0,1,0,0,0.8862,High,xgboost
CUST-00956,SMB,Starter,Annual,Europe,11.5,134.54,2.1,52,11,2,5,3,5,2021-11-03,1,0.1826086956521739,0.17391304347826086,4.909266799707967,1,0,Detractor,1,0,1,0,0.8857,High,xgboost
CUST-01695,SMB,Pro,Monthly,North America,1.2,63.27,33.8,19,1,1,2,5,2,2021-04-15,1,28.166666666666664,0.8333333333333334,4.163092959383195,0,0,Detractor,1,1,0,0,0.8851,High,xgboost
CUST-01059,SMB,Pro,Annual,North America,22.9,104.76,3.8,45,4,0,10,3,4,2021-08-19,1,0.16593886462882096,0.0,4.6611723761033765,1,0,Promoter,0,0,0,1,0.8824,High,xgboost
CUST-01863,SMB,Starter,Monthly,Europe,6.2,83.72,4.3,1,5,2,8,4,2,2021-09-15,1,0.6935483870967741,0.3225806451612903,4.439351701293151,0,0,Passive,0,0,1,0,0.8788,High,xgboost
CUST-01000,SMB,Starter,Monthly,North America,2.6,50.69,11.3,37,4,3,6,5,1,2021-07-11,1,4.346153846153847,1.1538461538461537,3.945264339207948,1,0,Detractor,1,1,0,0,0.8755,High,xgboost
CUST-01132,SMB,Starter,Monthly,LATAM,4.5,67.96,4.4,55,1,3,8,3,5,2021-08-14,1,0.9777777777777779,0.6666666666666666,4.233526626355437,1,0,Passive,0,0,1,0,0.8749,High,xgboost
CUST-01750,SMB,Starter,Monthly,North America,8.3,240.22,10.0,33,3,5,4,4,4,2021-04-12,1,1.2048192771084336,0.6024096385542168,5.485709380155097,1,0,Detractor,1,0,1,0,0.8747,High,xgboost
CUST-01161,Mid-Market,Pro,Monthly,North America,14.3,713.28,4.8,46,14,4,9,4,4,2021-02-04,1,0.3356643356643356,0.2797202797202797,6.571275042328924,1,0,Promoter,0,0,0,1,0.8744,High,xgboost
CUST-01052,SMB,Starter,Monthly,APAC,1.7,24.72,24.3,50,10,1,0,5,1,2021-11-28,1,14.294117647058824,0.5882352941176471,3.2472688993694185,1,0,Detractor,1,1,0,0,0.8742,High,xgboost
CUST-00762,SMB,Starter,Monthly,APAC,45.9,80.31,0.3,26,10,2,6,5,4,2021-06-30,1,0.006535947712418301,0.04357298474945534,4.398269010219746,0,0,Detractor,1,0,0,1,0.8712,High,xgboost
CUST-01136,SMB,Pro,Annual,North America,54.7,55.06,6.0,76,18,0,8,5,1,2021-10-07,1,0.10968921389396709,0.0,4.026422545736642,1,1,Passive,0,0,0,1,0.8698,High,xgboost
CUST-00124,SMB,Pro,Annual,North America,8.5,38.54,11.8,38,18,1,0,5,5,2021-10-26,1,1.3882352941176472,0.11764705882352941,3.6773128177424708,1,0,Detractor,1,0,1,0,0.8676,High,xgboost
CUST-00989,SMB,Starter,Monthly,Europe,39.7,109.76,1.8,6,18,0,6,4,4,2021-08-19,1,0.04534005037783375,0.0,4.707365698302761,0,0,Detractor,1,0,0,1,0.8667,High,xgboost
CUST-00618,SMB,Starter,Monthly,North America,7.0,87.52,9.9,4,4,0,6,3,4,2022-05-13,1,1.4142857142857144,0.0,4.483228515182849,0,0,Detractor,1,0,1,0,0.8646,High,xgboost
CUST-00713,SMB,Pro,Annual,Europe,12.2,86.88,1.2,45,3,1,4,4,1,2021-08-05,0,0.09836065573770492,0.0819672131147541,4.47597224751641,1,0,Detractor,1,0,0,1,0.8634,High,xgboost
CUST-02000,SMB,Starter,Annual,LATAM,31.0,101.35,4.7,34,7,2,5,4,1,2021-05-29,1,0.15161290322580645,0.06451612903225806,4.628398312107299,1,0,Detractor,1,0,0,1,0.863,High,xgboost
CUST-01660,SMB,Starter,Monthly,North America,44.2,123.82,12.1,49,12,2,8,4,5,2022-02-11,1,0.27375565610859726,0.04524886877828054,4.826872699505897,1,0,Passive,0,0,0,1,0.8611,High,xgboost
CUST-00158,Mid-Market,Enterprise,Monthly,Europe,1.3,449.17,7.2,4,16,2,2,5,5,2021-11-11,1,5.538461538461538,1.5384615384615383,6.109625289202085,0,0,Detractor,1,1,0,0,0.8611,High,xgboost
CUST-01566,SMB,Pro,Monthly,North America,16.6,50.44,4.2,37,19,2,6,4,3,2021-08-21,1,0.25301204819277107,0.12048192771084336,3.940416079929364,1,0,Detractor,1,0,0,1,0.8609,High,xgboost
CUST-01586,SMB,Starter,Monthly,North America,5.5,81.12,1.6,58,13,2,6,2,5,2021-03-24,1,0.29090909090909095,0.36363636363636365,4.408181592150733,1,0,Detractor,1,0,1,0,0.8608,High,xgboost
CUST-01377,SMB,Starter,Annual,APAC,8.0,87.73,11.3,10,6,2,4,1,3,2021-11-08,1,1.4125,0.25,4.485598050847247,0,0,Detractor,1,0,1,0,0.8607,High,xgboost
CUST-01678,SMB,Pro,Annual,Europe,1.6,84.7,14.2,35,17,0,0,4,2,2022-04-21,1,8.874999999999998,0.0,4.450852825603734,1,0,Detractor,1,1,0,0,0.8597,High,xgboost
CUST-00190,SMB,Starter,Monthly,Europe,18.7,65.1,3.2,12,17,2,8,3,5,2021-10-22,1,0.17112299465240643,0.10695187165775401,4.191168746857641,0,0,Passive,0,0,0,1,0.8595,High,xgboost
CUST-00291,SMB,Starter,Monthly,APAC,7.0,74.92,25.5,22,2,1,4,5,2,2022-02-08,1,3.642857142857143,0.14285714285714285,4.3296801543016725,0,0,Detractor,1,0,1,0,0.8582,High,xgboost
CUST-00420,Mid-Market,Starter,Annual,North America,7.6,406.07,2.0,1,6,3,0,5,5,2021-01-02,1,0.2631578947368421,0.39473684210526316,6.008985160825971,0,0,Detractor,1,0,1,0,0.857,High,xgboost
CUST-00432,Mid-Market,Pro,Monthly,APAC,22.6,1163.8,0.9,39,5,3,7,5,3,2021-07-14,1,0.03982300884955752,0.1327433628318584,7.060304677442422,1,0,Passive,0,0,0,1,0.8559,High,xgboost
CUST-00868,SMB,Starter,Monthly,North America,6.3,63.69,8.8,28,13,1,1,4,5,2021-02-27,1,1.396825396825397,0.15873015873015872,4.169606630055894,0,0,Detractor,1,0,1,0,0.855,High,xgboost
CUST-01958,SMB,Pro,Monthly,Europe,50.1,97.94,11.3,16,6,1,2,4,2,2021-01-17,1,0.2255489021956088,0.01996007984031936,4.594513605799563,0,0,Detractor,1,0,0,1,0.8531,High,xgboost
CUST-00407,SMB,Starter,Monthly,North America,4.9,60.46,1.8,35,15,3,9,5,1,2022-02-26,1,0.36734693877551017,0.6122448979591836,4.1183865567023386,1,0,Promoter,0,0,1,0,0.8525,High,xgboost
CUST-01279,SMB,Pro,Monthly,North America,2.3,155.58,16.3,3,6,0,7,1,3,2021-08-06,1,7.086956521739132,0.0,5.053567061479768,0,0,Passive,0,1,0,0,0.8494,High,xgboost
CUST-00897,SMB,Pro,Monthly,Europe,1.3,52.98,12.6,31,16,1,3,4,2,2021-06-27,0,9.692307692307692,0.7692307692307692,3.9886136075898584,1,0,Detractor,1,1,0,0,0.8472,High,xgboost
CUST-00097,SMB,Starter,Monthly,Europe,12.3,51.12,10.8,5,12,3,8,5,1,2021-01-26,1,0.8780487804878049,0.24390243902439024,3.953548752256644,0,0,Passive,0,0,0,1,0.8461,High,xgboost
CUST-00545,Mid-Market,Pro,Annual,North America,19.0,196.41,6.4,22,9,1,0,5,3,2021-12-19,1,0.3368421052631579,0.05263157894736842,5.285282784277577,0,0,Detractor,1,0,0,1,0.845,High,xgboost
CUST-01820,SMB,Starter,Monthly,North America,4.7,72.02,6.4,0,12,4,8,5,1,2021-08-08,1,1.3617021276595744,0.851063829787234,4.29073337622749,0,0,Passive,0,0,1,0,0.8438,High,xgboost
CUST-01395,SMB,Starter,Monthly,LATAM,9.4,219.82,3.3,68,7,0,8,4,5,2022-03-25,1,0.351063829787234,0.0,5.397347890010991,1,1,Passive,0,0,1,0,0.8431,High,xgboost
CUST-01827,SMB,Pro,Monthly,North America,4.4,133.76,9.3,4,15,1,3,4,1,2021-12-09,1,2.1136363636363638,0.22727272727272727,4.903495418538352,0,0,Detractor,1,0,1,0,0.8385,High,xgboost
CUST-01048,SMB,Starter,Monthly,North America,44.2,81.12,10.2,1,17,2,9,4,5,2022-03-16,1,0.23076923076923073,0.04524886877828054,4.408181592150733,0,0,Promoter,0,0,0,1,0.837,High,xgboost
CUST-01369,SMB,Starter,Annual,North America,19.0,61.31,14.1,1,17,2,3,4,3,2021-09-12,1,0.7421052631578947,0.10526315789473684,4.132121926556131,0,0,Detractor,1,0,0,1,0.8334,High,xgboost
CUST-01464,Mid-Market,Pro,Monthly,North America,1.3,562.34,10.6,47,9,1,6,3,3,2022-04-22,1,8.153846153846153,0.7692307692307692,6.3338833534985115,1,0,Detractor,1,1,0,0,0.8298,High,xgboost
CUST-00685,Enterprise,Enterprise,Annual,APAC,5.6,3351.2,1.6,57,4,2,1,5,3,2021-06-13,1,0.28571428571428575,0.35714285714285715,8.117372125693159,1,0,Detractor,1,0,1,0,0.8291,High,xgboost
CUST-01910,SMB,Starter,Monthly,North America,11.2,34.72,12.6,42,18,1,8,1,4,2022-03-25,1,1.125,0.08928571428571429,3.575710756008298,1,0,Passive,0,0,1,0,0.8288,High,xgboost
CUST-00620,Mid-Market,Enterprise,Monthly,Europe,54.1,604.19,2.5,4,15,2,10,5,1,2021-11-04,1,0.04621072088724584,0.03696857670979667,6.405542458314369,0,0,Promoter,0,0,0,1,0.8268,High,xgboost
CUST-01641,SMB,Starter,Monthly,Europe,5.9,73.32,0.7,14,13,1,3,3,2,2021-01-12,1,0.11864406779661016,0.1694915254237288,4.308380094505583,0,0,Detractor,1,0,1,0,0.8268,High,xgboost
CUST-01559,Mid-Market,Pro,Monthly,LATAM,21.1,425.34,5.2,2,6,2,5,4,4,2021-01-17,1,0.24644549763033174,0.0947867298578199,6.055237150005048,0,0,Detractor,1,0,0,1,0.8252,High,xgboost
CUST-00340,SMB,Starter,Monthly,Europe,8.7,72.28,11.4,14,5,2,8,4,2,2021-02-20,1,1.310344827586207,0.2298850574712644,4.294287720365875,0,0,Passive,0,0,1,0,0.8236,High,xgboost
CUST-00816,SMB,Starter,Monthly,North America,0.5,80.51,0.5,5,19,3,1,5,4,2021-04-17,1,0.5,3.0,4.400725712106366,0,0,Detractor,1,1,0,0,0.8223,High,xgboost
CUST-00403,SMB,Starter,Monthly,North America,10.1,67.1,4.0,19,7,1,3,5,2,2022-02-23,1,0.39603960396039606,0.09900990099009901,4.220977213155467,0,0,Detractor,1,0,1,0,0.8218,High,xgboost
CUST-00601,SMB,Starter,Monthly,North America,9.3,137.65,0.6,17,12,0,3,3,4,2022-02-10,1,0.06451612903225806,0.0,4.931952772061787,0,0,Detractor,1,0,1,0,0.8218,High,xgboost
CUST-01982,Mid-Market,Starter,Monthly,APAC,2.9,396.91,11.9,8,4,3,0,5,2,2021-10-16,1,4.103448275862069,1.0344827586206897,5.98622584905978,0,0,Detractor,1,1,0,0,0.8204,High,xgboost
CUST-00916,SMB,Starter,Monthly,North America,12.1,134.35,18.1,26,18,4,0,4,2,2021-12-13,1,1.4958677685950414,0.3305785123966942,4.90786401606031,0,0,Detractor,1,0,0,1,0.8196,High,xgboost
CUST-01731,SMB,Starter,Monthly,APAC,11.8,98.39,22.1,1,8,0,7,4,1,2022-05-10,1,1.8728813559322035,0.0,4.599051504979914,0,0,Passive,0,0,1,0,0.8195,High,xgboost
CUST-01821,SMB,Starter,Monthly,North America,30.6,81.45,26.5,2,7,3,6,3,3,2021-06-25,1,0.8660130718954248,0.09803921568627451,4.412192049005608,0,0,Detractor,1,0,0,1,0.8163,High,xgboost
CUST-01350,SMB,Pro,Monthly,Europe,2.2,104.15,4.1,6,13,3,9,5,5,2021-11-29,1,1.8636363636363633,1.3636363636363635,4.655387902148709,0,0,Promoter,0,1,0,0,0.8134,High,xgboost
CUST-01537,SMB,Pro,Monthly,North America,2.7,107.43,7.0,9,14,0,7,4,2,2021-01-09,1,2.5925925925925926,0.0,4.68610480348409,0,0,Passive,0,1,0,0,0.8111,High,xgboost
CUST-01217,SMB,Starter,Monthly,APAC,2.6,87.37,3.7,8,5,0,1,3,5,2021-09-25,1,1.4230769230769231,0.0,4.481532545529913,0,0,Detractor,1,1,0,0,0.8086,High,xgboost
CUST-00858,SMB,Starter,Monthly,Europe,0.6,77.81,5.3,1,4,2,9,4,1,2021-07-18,1,5.3,2.0,4.3670398923655585,0,0,Promoter,0,1,0,0,0.8074,High,xgboost
CUST-01347,SMB,Starter,Monthly,North America,10.4,31.89,7.4,8,11,3,8,4,4,2021-07-24,1,0.7115384615384616,0.28846153846153844,3.4931686602009657,0,0,Passive,0,0,1,0,0.8054,High,xgboost
CUST-00931,SMB,Starter,Monthly,North America,17.5,51.63,25.9,55,5,0,6,5,4,2022-03-18,1,1.48,0.0,3.9632862993656874,1,0,Detractor,1,0,0,1,0.8024,High,xgboost
CUST-01227,SMB,Pro,Monthly,North America,15.1,166.87,7.5,5,18,1,2,5,3,2021-01-16,1,0.49668874172185434,0.06622516556291391,5.123189870334323,0,0,Detractor,1,0,0,1,0.8016,High,xgboost
CUST-01896,Mid-Market,Pro,Monthly,North America,20.5,361.28,17.2,31,6,3,0,4,5,2021-06-22,1,0.8390243902439024,0.14634146341463414,5.892417393506748,1,0,Detractor,1,0,0,1,0.8004,High,xgboost
CUST-00092,Mid-Market,Pro,Monthly,North America,16.3,471.18,7.4,32,14,2,1,5,1,2022-01-24,1,0.4539877300613497,0.12269938650306748,6.157360268820067,1,0,Detractor,1,0,0,1,0.8,High,xgboost
CUST-00357,SMB,Starter,Annual,LATAM,1.1,77.97,12.1,31,19,3,8,1,3,2022-03-27,1,10.999999999999998,2.727272727272727,4.36906803350949,1,0,Passive,0,1,0,0,0.7994,High,xgboost
CUST-00651,SMB,Starter,Monthly,North America,0.6,102.28,7.2,8,3,1,8,2,3,2022-03-06,1,7.2,1.0,4.637443746538387,0,0,Passive,0,1,0,0,0.7951,High,xgboost
CUST-01495,Mid-Market,Pro,Annual,North America,5.6,386.37,4.3,51,6,1,1,4,3,2021-05-11,1,0.7678571428571429,0.17857142857142858,5.959380308635131,1,0,Detractor,1,0,1,0,0.7905,High,xgboost
CUST-01575,SMB,Starter,Monthly,North America,11.1,59.2,11.9,13,19,0,10,4,1,2021-06-10,1,1.0720720720720722,0.0,4.097672352314776,0,0,Promoter,0,0,1,0,0.7889,High,xgboost
CUST-00926,SMB,Starter,Monthly,North America,46.6,67.94,1.7,40,5,4,3,3,1,2021-01-22,1,0.036480686695278965,0.08583690987124463,4.233236561088719,1,0,Detractor,1,0,0,1,0.7888,High,xgboost
CUST-01490,SMB,Pro,Monthly,Europe,48.3,61.52,3.9,19,2,2,7,4,3,2021-01-29,1,0.08074534161490683,0.041407867494824016,4.135486505553276,0,0,Passive,0,0,0,1,0.7827,High,xgboost
CUST-00066,SMB,Pro,Monthly,APAC,21.0,133.41,5.2,12,14,1,9,4,3,2022-04-16,1,0.24761904761904763,0.047619047619047616,4.900894830083057,0,0,Promoter,0,0,0,1,0.7751,High,xgboost
CUST-01652,SMB,Starter,Monthly,North America,4.9,49.02,5.4,17,1,3,10,4,5,2021-03-10,1,1.1020408163265305,0.6122448979591836,3.912422925449473,0,0,Promoter,0,0,1,0,0.775,High,xgboost
CUST-00828,SMB,Starter,Monthly,Europe,0.6,115.96,9.0,26,8,1,2,4,5,2021-01-29,1,9.0,1.0,4.761831996001468,0,0,Detractor,1,1,0,0,0.7741,High,xgboost
CUST-00744,SMB,Pro,Monthly,North America,43.2,235.39,5.1,5,7,0,7,2,5,2021-07-19,1,0.11805555555555554,0.0,5.465482983452789,0,0,Passive,0,0,0,1,0.7737,High,xgboost
