CustomerID,Segment,Plan,ContractType,Region,tenure_months,MRR,LoginsPerMonth,DaysSinceLastLogin,FeaturesUsed,SupportTickets,NPSScore,CSATScore,NumProducts,StartDate,Churn
CUST-00044,Enterprise,Pro,Multi-year,North America,35.8,2821.25,7.7,5,18,1,7,1,1,2021-06-07,0
CUST-00045,SMB,Pro,Annual,North America,8.0,93.12,8.3,7,16,2,9,4,1,2021-06-16,0
CUST-00046,Mid-Market,Pro,Annual,North America,18.4,357.86,25.9,42,17,1,7,4,4,2022-05-02,0
CUST-00047,SMB,Starter,Monthly,North America,46.0,74.4,11.1,4,6,1,5,5,5,2021-02-19,1
CUST-00048,SMB,Starter,Annual,North America,3.0,116.88,14.2,1,12,1,4,5,5,2021-08-16,0
CUST-00049,SMB,Pro,Annual,LATAM,15.1,46.01,5.9,1,19,1,7,5,4,2021-10-21,0
CUST-00050,SMB,Pro,Monthly,North America,26.0,34.63,0.4,11,3,1,0,5,3,2021-03-19,0
CUST-00051,Enterprise,Enterprise,Annual,Europe,25.5,3656.04,32.1,15,3,4,7,4,4,2021-09-01,0
CUST-00052,Mid-Market,Pro,Annual,North America,13.4,613.5,35.7,6,18,0,1,4,1,2021-10-15,0
CUST-00053,Enterprise,Pro,Multi-year,Europe,17.6,2549.35,35.7,18,11,1,10,1,5,2021-08-28,0
CUST-00054,Enterprise,Enterprise,Multi-year,Europe,25.5,1300.07,34.5,1,6,1,8,5,2,2021-05-15,0
CUST-00055,Mid-Market,Pro,Annual,North America,33.1,671.57,20.3,29,19,2,8,1,2,2021-12-20,0
CUST-00056,Enterprise,Enterprise,Annual,APAC,25.8,2232.78,13.8,25,5,1,5,4,1,2022-03-04,0
CUST-00057,SMB,Starter,Annual,Europe,7.9,42.45,22.3,64,13,0,4,2,5,2021-03-12,1
CUST-00058,SMB,Starter,Monthly,APAC,72.0,141.42,11.0,41,5,2,9,4,5,2021-04-25,0
CUST-00059,SMB,Pro,Monthly,North America,10.3,85.24,1.7,7,3,2,8,3,4,2021-05-17,0
CUST-00060,SMB,Pro,Monthly,LATAM,0.5,68.28,6.0,8,19,1,3,3,3,2021-08-17,1
CUST-00061,SMB,Starter,Annual,APAC,8.1,68.77,42.6,21,17,2,4,2,4,2021-09-23,0
CUST-00062,SMB,Starter,Annual,LATAM,2.5,35.73,5.2,2,3,2,10,4,2,2022-02-11,0
CUST-00063,Mid-Market,Pro,Annual,Europe,2.3,633.93,24.3,6,15,1,5,4,5,2021-08-26,0
CUST-00064,SMB,Starter,Monthly,Europe,6.0,88.83,1.2,2,17,1,0,4,3,2021-06-19,0
CUST-00065,SMB,Starter,Annual,APAC,1.0,74.02,4.9,9,13,1,1,4,4,2022-04-22,0
CUST-00066,SMB,Pro,Monthly,APAC,21.0,133.41,5.2,12,14,1,9,4,3,2022-04-16,1
CUST-00067,SMB,Starter,Monthly,LATAM,1.4,45.99,0.6,4,16,1,9,5,2,2022-03-13,0
CUST-00068,Mid-Market,Enterprise,Annual,North America,4.1,393.82,1.5,0,11,1,6,4,3,2021-06-12,0
CUST-00069,SMB,Starter,Annual,APAC,1.8,56.94,2.6,19,17,1,3,1,5,2021-02-26,0
CUST-00070,Enterprise,Enterprise,Multi-year,North America,1.2,1788.95,21.8,0,5,1,7,3,3,2021-08-11,0
CUST-00071,Mid-Market,Pro,Annual,Europe,5.6,513.68,0.8,54,15,1,6,4,3,2021-12-27,0
CUST-00072,SMB,Starter,Monthly,North America,15.3,95.01,4.3,4,18,0,6,5,4,2021-04-09,0
CUST-00073,SMB,Starter,Monthly,North America,60.2,69.63,0.1,16,16,1,5,2,3,2022-04-04,0
CUST-00074,Mid-Market,Pro,Monthly,LATAM,37.5,352.01,14.3,9,14,2,1,5,3,2021-12-09,0
CUST-00075,Mid-Market,Pro,Annual,North America,37.6,981.43,11.6,1,14,4,9,1,2,2021-05-02,0
CUST-00076,Mid-Market,Pro,Monthly,Europe,3.5,1311.94,12.4,10,13,3,8,4,3,2022-05-02,0
CUST-00077,Mid-Market,Pro,Monthly,Europe,5.5,529.49,5.6,11,1,2,9,5,4,2021-07-02,0
CUST-00078,SMB,Starter,Monthly,North America,1.4,59.1,2.8,29,6,4,7,4,4,2021-12-17,1
CUST-00079,SMB,Starter,Monthly,North America,27.1,144.35,15.3,20,11,2,10,4,5,2021-02-25,0
CUST-00080,SMB,Starter,Annual,Europe,1.3,44.85,20.0,1,11,3,10,5,2,2021-12-27,0
CUST-00081,Enterprise,Pro,Annual,North America,14.6,1749.34,1.8,4,16,0,5,2,1,2021-08-17,0
CUST-00082,Mid-Market,Pro,Annual,APAC,5.1,378.48,8.0,6,3,0,6,4,5,2021-02-21,0
CUST-00083,SMB,Starter,Monthly,LATAM,5.0,50.31,3.4,2,17,1,9,4,3,2021-11-04,0
CUST-00084,SMB,Starter,Monthly,North America,72.0,71.52,2.2,9,14,1,9,5,2,2021-08-20,0
CUST-00085,SMB,Starter,Monthly,North America,25.4,56.62,15.9,62,2,0,10,5,5,2021-08-31,0
CUST-00086,SMB,Starter,Monthly,Europe,32.6,80.41,9.3,11,9,1,8,2,4,2022-01-03,0
CUST-00087,Mid-Market,Starter,Annual,Europe,15.3,505.47,2.9,20,8,3,7,5,2,2022-05-09,0
CUST-00088,Mid-Market,Pro,Annual,North America,36.9,389.97,4.5,17,11,1,6,3,2,2021-02-19,0
CUST-00089,Enterprise,Enterprise,Annual,North America,18.7,1724.51,40.8,28,7,3,7,2,3,2021-01-29,0
CUST-00090,SMB,Starter,Monthly,Europe,52.6,72.94,22.7,4,2,1,10,4,2,2021-08-10,0
CUST-00091,SMB,Starter,Monthly,LATAM,5.9,110.6,25.4,21,4,4,10,5,2,2022-01-18,0
CUST-00092,Mid-Market,Pro,Monthly,North America,16.3,471.18,7.4,32,14,2,1,5,1,2022-01-24,1
CUST-00093,Mid-Market,Pro,Annual,North America,21.1,695.4,11.7,3,13,3,8,4,3,2021-10-15,0
CUST-00094,Mid-Market,Enterprise,Annual,LATAM,9.0,632.03,5.7,6,13,0,8,4,2,2021-11-08,0
CUST-00095,Mid-Market,Pro,Annual,Europe,38.1,628.43,1.0,53,13,2,6,5,2,2022-03-18,0
CUST-00096,SMB,Pro,Monthly,Europe,70.2,139.37,6.2,23,5,3,10,5,1,2021-10-06,0
CUST-00097,SMB,Starter,Monthly,Europe,12.3,51.12,10.8,5,12,3,8,5,1,2021-01-26,1
CUST-00098,SMB,Pro,Annual,LATAM,8.9,66.2,4.1,12,6,2,6,3,4,2021-01-16,0
CUST-00099,SMB,Starter,Annual,Europe,11.5,161.96,22.6,8,14,2,7,5,3,2022-03-14,0
CUST-00100,SMB,Pro,Annual,APAC,34.5,72.18,2.0,10,8,1,6,5,1,2021-12-13,0
CUST-00101,SMB,Starter,Monthly,Europe,18.7,25.94,5.5,7,8,0,7,5,2,2022-01-02,0
CUST-00102,Mid-Market,Pro,Annual,Europe,0.8,461.01,1.6,5,7,0,1,3,1,2021-03-14,0
CUST-00103,SMB,Starter,Annual,North America,14.1,84.44,6.2,17,17,2,2,5,5,2022-01-12,1
CUST-00104,SMB,Pro,Annual,North America,0.5,28.08,0.5,23,11,2,8,5,4,2021-06-20,0
CUST-00105,Enterprise,Enterprise,Multi-year,APAC,27.1,3410.03,3.8,31,10,2,8,4,4,2021-05-20,0
CUST-00106,SMB,Starter,Annual,North America,7.2,60.13,6.1,3,13,2,8,5,3,2022-01-24,0
CUST-00107,SMB,Starter,Annual,Europe,11.5,91.24,7.8,26,10,3,9,5,4,2021-03-25,0
CUST-00108,Mid-Market,Starter,Annual,North America,28.9,456.79,9.4,4,14,1,10,4,3,2022-04-08,0
CUST-00109,SMB,Starter,Monthly,APAC,0.9,47.78,3.9,8,9,3,10,5,5,2022-03-19,0
CUST-00110,SMB,Pro,Monthly,North America,3.1,52.13,8.9,35,7,2,7,1,2,2021-11-19,1
CUST-00111,SMB,Pro,Monthly,APAC,9.1,55.04,8.5,9,7,0,4,4,5,2021-08-04,0
CUST-00112,SMB,Starter,Annual,Europe,4.7,123.51,4.6,3,18,1,6,3,3,2021-08-07,0
CUST-00113,Enterprise,Pro,Multi-year,North America,7.4,1885.38,21.3,3,16,1,8,3,3,2021-04-20,0
CUST-00114,Mid-Market,Starter,Annual,Europe,72.0,405.8,9.5,10,8,2,10,5,3,2022-03-30,0
CUST-00115,Mid-Market,Pro,Monthly,North America,31.4,344.04,4.8,22,16,2,9,1,2,2022-04-19,0
CUST-00116,Enterprise,Pro,Annual,North America,38.8,3227.18,35.3,88,19,1,8,5,3,2022-04-01,0
CUST-00117,Mid-Market,Enterprise,Monthly,North America,49.8,898.11,22.4,23,15,0,8,4,5,2022-04-23,0
CUST-00118,SMB,Pro,Annual,North America,7.5,128.5,48.6,31,15,0,8,4,2,2022-02-14,0
CUST-00119,Enterprise,Pro,Annual,LATAM,6.3,2435.43,14.1,21,6,2,10,3,5,2021-02-13,0
CUST-00120,SMB,Starter,Annual,North America,4.8,89.83,5.7,34,9,2,9,3,2,2021-07-16,0
CUST-00121,Mid-Market,Pro,Monthly,Europe,31.9,307.43,4.0,1,15,3,9,3,3,2021-08-27,0
CUST-00122,Enterprise,Enterprise,Multi-year,North America,20.5,1812.7,13.1,40,7,1,7,3,2,2021-12-04,0
CUST-00123,SMB,Starter,Monthly,Europe,4.8,60.85,47.4,8,8,1,6,5,1,2021-09-29,0
CUST-00124,SMB,Pro,Annual,North America,8.5,38.54,11.8,38,18,1,0,5,5,2021-10-26,1
CUST-00125,SMB,Pro,Monthly,Europe,12.7,122.1,25.6,1,16,0,0,5,1,2021-07-27,0
CUST-00126,SMB,Pro,Annual,Europe,13.5,60.56,4.8,19,15,0,0,5,1,2021-06-06,0
CUST-00127,Mid-Market,Pro,Annual,Europe,39.5,806.73,6.3,20,3,0,10,4,3,2021-10-27,0
CUST-00128,Enterprise,Pro,Multi-year,North America,8.6,2845.8,28.4,87,1,0,2,4,3,2022-04-04,0
CUST-00129,SMB,Starter,Annual,Europe,43.1,99.95,17.0,22,13,2,3,3,1,2021-10-24,0
CUST-00130,SMB,Starter,Monthly,North America,10.5,102.23,47.8,7,12,4,7,5,2,2021-09-21,0
CUST-00131,SMB,Starter,Monthly,North America,24.7,62.55,17.9,12,9,4,7,3,3,2022-02-17,0
CUST-00132,SMB,Pro,Monthly,North America,47.9,168.2,7.1,7,2,1,10,4,5,2021-04-21,0
CUST-00133,SMB,Starter,Monthly,North America,42.9,81.39,9.1,3,9,3,1,3,1,2021-02-01,0
CUST-00134,SMB,Starter,Monthly,Europe,1.1,90.27,27.7,4,8,1,10,4,5,2021-06-12,0
CUST-00135,Enterprise,Enterprise,Multi-year,Europe,4.1,1542.67,9.6,4,5,3,4,4,5,2021-02-14,0
CUST-00136,SMB,Starter,Monthly,North America,11.7,55.12,3.5,12,13,2,10,2,5,2021-02-05,0
CUST-00137,SMB,Starter,Annual,North America,10.2,96.83,6.9,35,2,2,8,4,1,2021-08-08,0
CUST-00138,Mid-Market,Pro,Annual,North America,18.4,545.45,8.7,37,10,3,8,3,4,2021-05-25,0
CUST-00139,SMB,Starter,Monthly,Europe,52.1,58.34,1.2,1,6,0,6,3,3,2022-03-09,0
CUST-00140,Enterprise,Enterprise,Annual,Europe,2.1,1124.99,16.3,1,7,2,8,4,5,2021-08-23,0
CUST-00141,Enterprise,Enterprise,Annual,North America,10.8,1203.43,1.4,4,3,1,9,4,1,2021-09-12,0
CUST-00142,SMB,Starter,Annual,Europe,3.8,129.09,6.2,4,14,0,0,5,4,2022-03-25,0
CUST-00143,SMB,Starter,Annual,Europe,40.4,62.6,19.6,1,16,0,0,4,1,2021-03-22,0
CUST-00144,SMB,Pro,Monthly,Europe,60.1,69.86,7.6,7,6,1,10,5,3,2021-04-02,0
CUST-00145,SMB,Pro,Monthly,Europe,11.7,142.9,22.1,13,8,1,7,3,1,2021-03-25,0
CUST-00146,SMB,Starter,Monthly,Europe,2.0,51.07,5.0,13,1,1,10,4,2,2021-12-12,0
CUST-00147,Mid-Market,Starter,Annual,Europe,27.7,373.83,37.9,12,15,2,9,4,2,2021-05-12,0
CUST-00148,SMB,Starter,Monthly,North America,21.5,58.82,2.8,6,17,3,6,3,5,2022-01-25,0
CUST-00149,SMB,Starter,Monthly,North America,7.9,152.82,0.5,18,18,2,3,2,1,2021-12-28,0
CUST-00150,SMB,Pro,Monthly,North America,39.3,177.57,24.7,26,3,0,10,5,1,2021-07-26,0
CUST-00151,Enterprise,Enterprise,Multi-year,Europe,67.0,2701.41,16.7,6,6,1,8,5,5,2021-09-10,0
CUST-00152,SMB,Starter,Monthly,APAC,14.7,109.44,3.2,1,17,1,4,3,5,2022-05-09,1
CUST-00153,SMB,Starter,Monthly,North America,15.0,63.43,50.2,5,13,4,8,3,4,2021-03-02,0
CUST-00154,SMB,Starter,Annual,North America,6.4,174.33,8.4,2,17,0,2,5,1,2021-12-11,0
CUST-00155,Enterprise,Pro,Multi-year,APAC,15.8,2226.04,36.2,9,16,2,10,2,3,2022-03-13,0
CUST-00156,SMB,Starter,Monthly,APAC,10.4,112.54,8.4,3,17,4,2,5,3,2021-03-23,0
CUST-00157,Mid-Market,Pro,Monthly,APAC,6.5,479.33,7.7,9,1,4,4,5,3,2022-04-08,0
CUST-00158,Mid-Market,Enterprise,Monthly,Europe,1.3,449.17,7.2,4,16,2,2,5,5,2021-11-11,1
CUST-00159,SMB,Starter,Monthly,APAC,5.2,155.59,4.9,20,6,1,2,3,5,2021-12-20,0
CUST-00160,Mid-Market,Pro,Annual,North America,4.0,620.48,9.2,0,8,2,8,1,5,2022-02-28,0
CUST-00161,SMB,Starter,Monthly,North America,14.1,142.96,7.2,12,1,0,8,5,3,2021-02-16,0
CUST-00162,Mid-Market,Starter,Annual,North America,16.6,553.76,0.4,3,2,1,9,4,4,2021-10-14,0
CUST-00163,Mid-Market,Pro,Annual,Europe,16.9,356.12,3.6,0,15,2,8,4,2,2021-08-06,0
CUST-00164,SMB,Starter,Monthly,North America,8.8,63.35,2.9,31,5,1,6,3,1,2022-01-27,1
CUST-00165,SMB,Starter,Monthly,Europe,9.8,83.36,24.2,17,15,1,8,3,2,2021-01-10,0
CUST-00166,Mid-Market,Pro,Monthly,Europe,32.3,389.17,11.0,2,10,0,10,5,1,2022-01-22,0
CUST-00167,SMB,Starter,Annual,North America,11.6,51.37,17.3,16,5,0,6,5,5,2021-05-26,0
CUST-00168,SMB,Pro,Annual,APAC,72.0,129.36,37.7,14,3,3,5,5,3,2021-03-06,0
CUST-00169,SMB,Starter,Monthly,North America,10.4,64.33,12.4,10,6,2,7,5,2,2021-03-04,0
CUST-00170,Mid-Market,Starter,Annual,North America,18.9,528.42,48.6,8,15,2,5,4,5,2021-02-13,0
CUST-00171,Mid-Market,Starter,Annual,APAC,0.9,562.88,4.5,33,18,1,5,4,1,2021-08-13,0
CUST-00172,SMB,Starter,Annual,North America,19.1,63.23,2.5,4,14,2,9,3,2,2021-09-05,0
CUST-00173,SMB,Starter,Monthly,Europe,34.3,142.93,6.2,8,10,4,10,2,2,2022-01-15,0
CUST-00174,SMB,Pro,Annual,APAC,51.4,51.17,7.6,6,4,0,7,2,2,2021-07-25,0
CUST-00175,Mid-Market,Enterprise,Monthly,LATAM,72.0,555.16,27.1,22,11,4,9,4,2,2021-07-12,0
CUST-00176,SMB,Starter,Annual,APAC,6.0,88.28,9.9,37,7,1,4,1,2,2021-09-07,1
CUST-00177,Mid-Market,Pro,Annual,North America,15.4,489.27,4.1,28,15,1,8,5,5,2021-08-01,0
CUST-00178,SMB,Starter,Monthly,Europe,10.8,47.62,16.3,24,9,1,8,5,1,2021-04-30,0
CUST-00179,Enterprise,Enterprise,Annual,North America,14.9,2833.39,8.5,65,15,0,7,3,1,2022-02-17,0
CUST-00180,SMB,Starter,Monthly,North America,3.1,107.71,2.1,18,12,3,2,4,4,2021-01-10,0
CUST-00181,SMB,Starter,Monthly,North America,34.9,61.06,10.3,21,18,0,9,5,3,2021-05-25,0
CUST-00182,SMB,Starter,Annual,North America,43.3,106.17,29.1,61,6,3,9,5,2,2021-11-25,0
CUST-00183,Enterprise,Pro,Annual,APAC,10.7,2323.58,22.2,0,18,1,8,5,1,2021-04-29,0
CUST-00184,Enterprise,Enterprise,Multi-year,North America,5.9,1198.3,10.6,15,18,2,3,3,3,2021-05-26,0
CUST-00185,SMB,Starter,Monthly,Europe,2.7,56.85,5.7,20,6,2,1,2,3,2021-12-11,1
CUST-00186,Mid-Market,Pro,Annual,North America,20.7,788.33,1.1,37,15,0,5,4,5,2021-02-17,0
CUST-00187,Mid-Market,Starter,Annual,Europe,6.7,565.88,7.6,32,19,1,0,4,2,2021-11-24,0
CUST-00188,Mid-Market,Pro,Annual,LATAM,43.3,398.97,16.7,28,5,1,9,4,4,2021-11-03,0
CUST-00189,SMB,Starter,Monthly,North America,20.0,56.75,5.4,44,4,1,9,5,3,2021-06-24,0
CUST-00190,SMB,Starter,Monthly,Europe,18.7,65.1,3.2,12,17,2,8,3,5,2021-10-22,1
CUST-00191,SMB,Starter,Monthly,North America,14.8,66.97,32.2,0,10,1,10,5,2,2021-12-08,0
CUST-00192,Enterprise,Enterprise,Annual,North America,0.8,1425.84,20.7,0,12,0,2,3,1,2021-10-01,0
CUST-00193,Enterprise,Enterprise,Annual,Europe,48.4,996.45,12.2,12,5,3,9,4,4,2022-03-08,0
CUST-00194,Mid-Market,Pro,Annual,APAC,17.8,788.88,1.8,9,7,1,3,4,2,2021-07-06,0
CUST-00195,SMB,Starter,Monthly,North America,72.0,117.95,1.9,9,12,2,1,4,5,2021-09-24,0
CUST-00196,SMB,Starter,Monthly,North America,13.9,48.07,1.3,8,2,3,3,5,5,2021-04-27,1
CUST-00197,Mid-Market,Starter,Annual,North America,22.3,528.02,11.5,37,17,0,10,4,5,2021-05-25,0
CUST-00198,Enterprise,Enterprise,Annual,APAC,1.0,1394.1,1.5,7,13,1,7,5,5,2021-07-30,0
CUST-00199,Enterprise,Enterprise,Multi-year,Europe,18.0,1801.32,22.2,29,5,3,0,5,5,2021-10-04,0
CUST-00200,Mid-Market,Pro,Monthly,Europe,26.0,435.59,59.5,35,5,2,8,5,4,2021-05-15,0
CUST-00201,Mid-Market,Enterprise,Annual,Europe,27.1,421.35,5.5,10,12,1,4,4,3,2021-06-05,0
CUST-00202,SMB,Starter,Annual,APAC,26.5,178.25,7.3,9,12,1,0,4,3,2021-12-24,0
CUST-00203,SMB,Pro,Monthly,APAC,4.6,67.08,14.9,21,7,2,9,3,1,2021-03-16,0
CUST-00204,Enterprise,Pro,Annual,APAC,66.7,1447.51,33.2,18,6,2,3,4,3,2021-09-22,0
CUST-00205,Mid-Market,Starter,Monthly,APAC,72.0,368.55,26.9,6,10,5,10,5,5,2022-02-02,0
CUST-00206,SMB,Pro,Monthly,Europe,1.4,121.45,0.7,2,19,2,8,2,3,2021-05-15,0
CUST-00207,SMB,Starter,Annual,Europe,49.6,41.31,2.2,5,16,6,2,5,3,2021-05-04,0
CUST-00208,Mid-Market,Pro,Monthly,APAC,6.2,368.54,16.9,2,2,0,4,5,5,2021-08-21,0
CUST-00209,SMB,Starter,Monthly,LATAM,21.0,142.7,14.0,5,4,0,8,5,4,2022-03-12,0
CUST-00210,SMB,Starter,Monthly,North America,7.4,88.2,1.7,5,9,0,6,4,5,2021-03-07,0
CUST-00211,SMB,Starter,Monthly,North America,61.8,86.38,8.4,15,5,2,8,4,3,2021-01-30,0
CUST-00212,Mid-Market,Pro,Monthly,LATAM,1.9,1173.17,18.2,46,1,3,9,3,3,2022-03-02,0
CUST-00213,Mid-Market,Pro,Monthly,North America,12.4,551.78,3.0,17,11,1,9,5,1,2021-03-11,0
CUST-00214,SMB,Starter,Annual,APAC,10.1,60.27,24.6,39,19,2,8,3,5,2021-05-05,0
CUST-00215,Mid-Market,Pro,Annual,North America,7.1,446.65,0.7,23,3,2,10,3,1,2021-01-02,0
CUST-00216,SMB,Pro,Monthly,North America,18.7,50.8,18.3,20,1,1,4,4,1,2022-05-11,0
CUST-00217,SMB,Starter,Monthly,North America,2.5,132.21,11.5,8,4,2,3,4,2,2021-05-03,0
CUST-00218,Mid-Market,Pro,Monthly,North America,22.7,629.19,4.5,6,9,3,9,4,1,2021-01-17,0
CUST-00219,Mid-Market,Pro,Annual,North America,71.0,783.97,15.3,28,16,1,6,4,3,2021-06-29,0
CUST-00220,Mid-Market,Pro,Monthly,Europe,29.4,812.24,18.3,35,7,2,7,5,3,2021-06-03,0
CUST-00221,Mid-Market,Pro,Annual,Europe,35.4,423.66,32.6,9,5,1,9,3,2,2021-08-21,0
CUST-00222,Mid-Market,Pro,Annual,LATAM,8.0,342.65,5.5,0,13,1,6,5,2,2021-08-03,0
CUST-00223,SMB,Starter,Monthly,North America,7.1,78.36,13.9,24,11,1,3,5,5,2021-07-23,0
CUST-00224,SMB,Starter,Monthly,Europe,13.1,56.43,11.1,5,14,3,8,2,2,2021-05-26,0
CUST-00225,SMB,Starter,Annual,Europe,0.8,85.46,8.9,0,17,2,9,5,4,2021-09-23,0
CUST-00226,SMB,Starter,Monthly,Europe,52.3,125.82,26.5,25,12,3,0,2,3,2021-05-17,0
CUST-00227,Enterprise,Enterprise,Annual,Europe,2.8,1869.91,0.0,11,19,1,8,5,3,2021-03-05,0
CUST-00228,SMB,Pro,Monthly,North America,42.0,84.95,4.0,17,5,3,7,5,2,2021-09-24,0
CUST-00229,Enterprise,Pro,Multi-year,North America,1.6,1926.32,9.3,37,8,1,5,5,2,2021-04-29,0
CUST-00230,Mid-Market,Starter,Monthly,North America,31.1,689.32,2.4,12,2,2,3,3,3,2022-01-09,0
CUST-00231,Mid-Market,Pro,Annual,North America,3.0,382.79,28.6,10,17,1,4,4,2,2021-01-31,0
CUST-00232,SMB,Pro,Annual,Europe,0.7,33.23,12.5,5,2,0,9,5,5,2021-07-06,0
CUST-00233,Mid-Market,Pro,Annual,North America,22.9,603.63,7.8,5,3,3,8,4,2,2021-05-30,0
CUST-00234,SMB,Starter,Monthly,APAC,5.9,118.77,20.2,24,18,2,10,5,2,2022-03-03,0
CUST-00235,SMB,Starter,Monthly,LATAM,22.6,95.64,7.2,9,15,2,5,5,5,2021-03-19,0
CUST-00236,Mid-Market,Pro,Annual,LATAM,14.6,387.04,9.8,3,5,0,10,3,5,2022-05-07,0
CUST-00237,SMB,Starter,Annual,LATAM,2.1,50.81,0.0,1,17,3,7,3,5,2021-09-07,0
CUST-00238,SMB,Starter,Annual,North America,48.4,97.5,5.5,10,14,0,3,4,3,2022-05-01,0
